1+i
2+i
3
3+i2
4+i
5+i2
5+i4
6+i
6+i5
7
7+i2
8+i3
8+i5
8+i7
9+i4
10+i
10+i3
10+i7
10+i9
11
11+i4
11+i6
12+i7
13+i2
13+i8
13+i10
13+i12
14+i
14+i9
14+i11
15+i2
15+i4
15+i14
16+i
16+i5
16+i9
17+i2
17+i8
17+i10
17+i12
18+i5
18+i7
18+i17
19
19+i6
19+i10
19+i14
19+i16
20+i
20+i3
20+i7
20+i11
20+i13
20+i19
Target sum:(26,9) number of unique gprimes:33
Target sum:(26,10) number of unique gprimes:30
Target sum:(26,11) number of unique gprimes:35
Target sum:(26,12) number of unique gprimes:32
Target sum:(26,13) number of unique gprimes:36
Target sum:(26,14) number of unique gprimes:29
Target sum:(26,15) number of unique gprimes:34
Target sum:(26,16) number of unique gprimes:28
Target sum:(26,17) number of unique gprimes:32
Target sum:(26,18) number of unique gprimes:22
Target sum:(26,19) number of unique gprimes:27
Target sum:(26,20) number of unique gprimes:15
Target sum:(26,21) number of unique gprimes:18
Target sum:(27,3) number of unique gprimes:15
Target sum:(27,4) number of unique gprimes:19
Target sum:(27,5) number of unique gprimes:22
Target sum:(27,6) number of unique gprimes:26
Target sum:(27,7) number of unique gprimes:26
Target sum:(27,8) number of unique gprimes:30
Target sum:(27,9) number of unique gprimes:32
Target sum:(27,10) number of unique gprimes:36
Target sum:(27,11) number of unique gprimes:32
Target sum:(27,12) number of unique gprimes:38
Target sum:(27,13) number of unique gprimes:33
Target sum:(27,14) number of unique gprimes:38
Target sum:(27,15) number of unique gprimes:31
Target sum:(27,16) number of unique gprimes:35
Target sum:(27,17) number of unique gprimes:30
Target sum:(27,18) number of unique gprimes:32
Target sum:(27,19) number of unique gprimes:26
Target sum:(27,20) number of unique gprimes:28
Target sum:(27,21) number of unique gprimes:16
Target sum:(27,22) number of unique gprimes:19
Target sum:(28,3) number of unique gprimes:15
Target sum:(28,4) number of unique gprimes:19
Target sum:(28,5) number of unique gprimes:23
Target sum:(28,6) number of unique gprimes:25
Target sum:(28,7) number of unique gprimes:29
Target sum:(28,8) number of unique gprimes:30
Target sum:(28,9) number of unique gprimes:36
Target sum:(28,10) number of unique gprimes:36
Target sum:(28,11) number of unique gprimes:40
Target sum:(28,12) number of unique gprimes:37
Target sum:(28,13) number of unique gprimes:43
Target sum:(28,14) number of unique gprimes:36
Target sum:(28,15) number of unique gprimes:39
Target sum:(28,16) number of unique gprimes:33
Target sum:(28,17) number of unique gprimes:36
Target sum:(28,18) number of unique gprimes:30
Target sum:(28,19) number of unique gprimes:34
Target sum:(28,20) number of unique gprimes:26
Target sum:(28,21) number of unique gprimes:29
Target sum:(28,22) number of unique gprimes:17
Target sum:(28,23) number of unique gprimes:19
Target sum:(29,3) number of unique gprimes:18
Target sum:(29,4) number of unique gprimes:19
Target sum:(29,5) number of unique gprimes:25
Target sum:(29,6) number of unique gprimes:27
Target sum:(29,7) number of unique gprimes:29
Target sum:(29,8) number of unique gprimes:33
Target sum:(29,9) number of unique gprimes:34
Target sum:(29,10) number of unique gprimes:38
Target sum:(29,11) number of unique gprimes:38
Target sum:(29,12) number of unique gprimes:42
Target sum:(29,13) number of unique gprimes:41
Target sum:(29,14) number of unique gprimes:43
Target sum:(29,15) number of unique gprimes:39
Target sum:(29,16) number of unique gprimes:41
Target sum:(29,17) number of unique gprimes:33
Target sum:(29,18) number of unique gprimes:38
Target sum:(29,19) number of unique gprimes:31
Target sum:(29,20) number of unique gprimes:34
Target sum:(29,21) number of unique gprimes:27
Target sum:(29,22) number of unique gprimes:29
Target sum:(29,23) number of unique gprimes:18
Target sum:(29,24) number of unique gprimes:19
Target sum:(30,3) number of unique gprimes:15
Target sum:(30,4) number of unique gprimes:20
Target sum:(30,5) number of unique gprimes:23
Target sum:(30,6) number of unique gprimes:28
Target sum:(30,7) number of unique gprimes:31
Target sum:(30,8) number of unique gprimes:34
Target sum:(30,9) number of unique gprimes:36
Target sum:(30,10) number of unique gprimes:38
Target sum:(30,11) number of unique gprimes:40
Target sum:(30,12) number of unique gprimes:41
Target sum:(30,13) number of unique gprimes:43
Target sum:(30,14) number of unique gprimes:41
Target sum:(30,15) number of unique gprimes:46
Target sum:(30,16) number of unique gprimes:39
Target sum:(30,17) number of unique gprimes:42
Target sum:(30,18) number of unique gprimes:37
Target sum:(30,19) number of unique gprimes:38
Target sum:(30,20) number of unique gprimes:33
Target sum:(30,21) number of unique gprimes:35
Target sum:(30,22) number of unique gprimes:28
Target sum:(30,23) number of unique gprimes:29
Target sum:(30,24) number of unique gprimes:18
Target sum:(30,25) number of unique gprimes:19
Target sum:(31,3) number of unique gprimes:18
Target sum:(31,4) number of unique gprimes:20
Target sum:(31,5) number of unique gprimes:24
Target sum:(31,6) number of unique gprimes:27
Target sum:(31,7) number of unique gprimes:31
Target sum:(31,8) number of unique gprimes:34
Target sum:(31,9) number of unique gprimes:37
Target sum:(31,10) number of unique gprimes:39
Target sum:(31,11) number of unique gprimes:41
Target sum:(31,12) number of unique gprimes:43
Target sum:(31,13) number of unique gprimes:44
Target sum:(31,14) number of unique gprimes:46
Target sum:(31,15) number of unique gprimes:44
Target sum:(31,16) number of unique gprimes:46
Target sum:(31,17) number of unique gprimes:41
Target sum:(31,18) number of unique gprimes:42
Target sum:(31,19) number of unique gprimes:36
Target sum:(31,20) number of unique gprimes:39
Target sum:(31,21) number of unique gprimes:34
Target sum:(31,22) number of unique gprimes:35
Target sum:(31,23) number of unique gprimes:27
Target sum:(31,24) number of unique gprimes:29
Target sum:(31,25) number of unique gprimes:17
Target sum:(31,26) number of unique gprimes:18
Target sum:(32,2) number of unique gprimes:12
Target sum:(32,3) number of unique gprimes:15
Target sum:(32,4) number of unique gprimes:21
Target sum:(32,5) number of unique gprimes:23
Target sum:(32,6) number of unique gprimes:29
Target sum:(32,7) number of unique gprimes:29
Target sum:(32,8) number of unique gprimes:35
Target sum:(32,9) number of unique gprimes:38
Target sum:(32,10) number of unique gprimes:39
Target sum:(32,11) number of unique gprimes:43
Target sum:(32,12) number of unique gprimes:42
Target sum:(32,13) number of unique gprimes:46
Target sum:(32,14) number of unique gprimes:45
Target sum:(32,15) number of unique gprimes:46
Target sum:(32,16) number of unique gprimes:44
Target sum:(32,17) number of unique gprimes:46
Target sum:(32,18) number of unique gprimes:42
Target sum:(32,19) number of unique gprimes:43
Target sum:(32,20) number of unique gprimes:37
Target sum:(32,21) number of unique gprimes:39
Target sum:(32,22) number of unique gprimes:33
Target sum:(32,23) number of unique gprimes:35
Target sum:(32,24) number of unique gprimes:28
Target sum:(32,25) number of unique gprimes:29
Target sum:(32,26) number of unique gprimes:18
Target sum:(32,27) number of unique gprimes:18
Target sum:(33,3) number of unique gprimes:17
Target sum:(33,4) number of unique gprimes:19
Target sum:(33,5) number of unique gprimes:24
Target sum:(33,6) number of unique gprimes:27
Target sum:(33,7) number of unique gprimes:31
Target sum:(33,8) number of unique gprimes:33
Target sum:(33,9) number of unique gprimes:37
Target sum:(33,10) number of unique gprimes:40
Target sum:(33,11) number of unique gprimes:43
Target sum:(33,12) number of unique gprimes:45
Target sum:(33,13) number of unique gprimes:45
Target sum:(33,14) number of unique gprimes:46
Target sum:(33,15) number of unique gprimes:47
Target sum:(33,16) number of unique gprimes:48
Target sum:(33,17) number of unique gprimes:46
Target sum:(33,18) number of unique gprimes:48
Target sum:(33,19) number of unique gprimes:42
Target sum:(33,20) number of unique gprimes:43
Target sum:(33,21) number of unique gprimes:38
Target sum:(33,22) number of unique gprimes:39
Target sum:(33,23) number of unique gprimes:34
Target sum:(33,24) number of unique gprimes:35
Target sum:(33,25) number of unique gprimes:28
Target sum:(33,26) number of unique gprimes:29
Target sum:(33,27) number of unique gprimes:18
Target sum:(33,28) number of unique gprimes:17
Target sum:(34,2) number of unique gprimes:13
Target sum:(34,3) number of unique gprimes:15
Target sum:(34,4) number of unique gprimes:21
Target sum:(34,5) number of unique gprimes:23
Target sum:(34,6) number of unique gprimes:28
Target sum:(34,7) number of unique gprimes:31
Target sum:(34,8) number of unique gprimes:36
Target sum:(34,9) number of unique gprimes:36
Target sum:(34,10) number of unique gprimes:41
Target sum:(34,11) number of unique gprimes:42
Target sum:(34,12) number of unique gprimes:46
Target sum:(34,13) number of unique gprimes:46
Target sum:(34,14) number of unique gprimes:46
Target sum:(34,15) number of unique gprimes:49
Target sum:(34,16) number of unique gprimes:47
Target sum:(34,17) number of unique gprimes:49
Target sum:(34,18) number of unique gprimes:47
Target sum:(34,19) number of unique gprimes:48
Target sum:(34,20) number of unique gprimes:43
Target sum:(34,21) number of unique gprimes:44
Target sum:(34,22) number of unique gprimes:38
Target sum:(34,23) number of unique gprimes:39
Target sum:(34,24) number of unique gprimes:34
Target sum:(34,25) number of unique gprimes:35
Target sum:(34,26) number of unique gprimes:28
Target sum:(34,27) number of unique gprimes:28
Target sum:(34,28) number of unique gprimes:18
Target sum:(34,29) number of unique gprimes:18
Target sum:(35,3) number of unique gprimes:17
Target sum:(35,4) number of unique gprimes:20
Target sum:(35,5) number of unique gprimes:25
Target sum:(35,6) number of unique gprimes:27
Target sum:(35,7) number of unique gprimes:30
Target sum:(35,8) number of unique gprimes:34
Target sum:(35,9) number of unique gprimes:38
Target sum:(35,10) number of unique gprimes:39
Target sum:(35,11) number of unique gprimes:44
Target sum:(35,12) number of unique gprimes:45
Target sum:(35,13) number of unique gprimes:47
Target sum:(35,14) number of unique gprimes:49
Target sum:(35,15) number of unique gprimes:48
Target sum:(35,16) number of unique gprimes:49
Target sum:(35,17) number of unique gprimes:48
Target sum:(35,18) number of unique gprimes:49
Target sum:(35,19) number of unique gprimes:47
Target sum:(35,20) number of unique gprimes:49
Target sum:(35,21) number of unique gprimes:43
Target sum:(35,22) number of unique gprimes:44
Target sum:(35,23) number of unique gprimes:38
Target sum:(35,24) number of unique gprimes:39
Target sum:(35,25) number of unique gprimes:34
Target sum:(35,26) number of unique gprimes:34
Target sum:(35,27) number of unique gprimes:28
Target sum:(35,28) number of unique gprimes:28
Target sum:(35,29) number of unique gprimes:18
Target sum:(35,30) number of unique gprimes:18
Target sum:(36,2) number of unique gprimes:14
Target sum:(36,3) number of unique gprimes:14
Target sum:(36,4) number of unique gprimes:21
Target sum:(36,5) number of unique gprimes:23
Target sum:(36,6) number of unique gprimes:28
Target sum:(36,7) number of unique gprimes:29
Target sum:(36,8) number of unique gprimes:35
Target sum:(36,9) number of unique gprimes:38
Target sum:(36,10) number of unique gprimes:40
Target sum:(36,11) number of unique gprimes:43
Target sum:(36,12) number of unique gprimes:45
Target sum:(36,13) number of unique gprimes:48
Target sum:(36,14) number of unique gprimes:49
Target sum:(36,15) number of unique gprimes:49
Target sum:(36,16) number of unique gprimes:48
Target sum:(36,17) number of unique gprimes:49
Target sum:(36,18) number of unique gprimes:49
Target sum:(36,19) number of unique gprimes:50
Target sum:(36,20) number of unique gprimes:48
Target sum:(36,21) number of unique gprimes:49
Target sum:(36,22) number of unique gprimes:43
Target sum:(36,23) number of unique gprimes:44
Target sum:(36,24) number of unique gprimes:38
Target sum:(36,25) number of unique gprimes:39
Target sum:(36,26) number of unique gprimes:34
Target sum:(36,27) number of unique gprimes:35
Target sum:(36,28) number of unique gprimes:28
Target sum:(36,29) number of unique gprimes:27
Target sum:(36,30) number of unique gprimes:18
Target sum:(36,31) number of unique gprimes:17
Target sum:(37,3) number of unique gprimes:18
Target sum:(37,4) number of unique gprimes:19
Target sum:(37,5) number of unique gprimes:26
Target sum:(37,6) number of unique gprimes:27
Target sum:(37,7) number of unique gprimes:31
Target sum:(37,8) number of unique gprimes:33
Target sum:(37,9) number of unique gprimes:38
Target sum:(37,10) number of unique gprimes:40
Target sum:(37,11) number of unique gprimes:43
Target sum:(37,12) number of unique gprimes:45
Target sum:(37,13) number of unique gprimes:47
Target sum:(37,14) number of unique gprimes:48
Target sum:(37,15) number of unique gprimes:50
Target sum:(37,16) number of unique gprimes:51
Target sum:(37,17) number of unique gprimes:49
Target sum:(37,18) number of unique gprimes:51
Target sum:(37,19) number of unique gprimes:49
Target sum:(37,20) number of unique gprimes:50
Target sum:(37,21) number of unique gprimes:48
Target sum:(37,22) number of unique gprimes:49
Target sum:(37,23) number of unique gprimes:43
Target sum:(37,24) number of unique gprimes:44
Target sum:(37,25) number of unique gprimes:38
Target sum:(37,26) number of unique gprimes:39
Target sum:(37,27) number of unique gprimes:34
Target sum:(37,28) number of unique gprimes:34
Target sum:(37,29) number of unique gprimes:28
Target sum:(37,30) number of unique gprimes:27
Target sum:(37,31) number of unique gprimes:18
Target sum:(37,32) number of unique gprimes:18
Target sum:(38,2) number of unique gprimes:13
Target sum:(38,3) number of unique gprimes:14
Target sum:(38,4) number of unique gprimes:22
Target sum:(38,5) number of unique gprimes:23
Target sum:(38,6) number of unique gprimes:28
Target sum:(38,7) number of unique gprimes:31
Target sum:(38,8) number of unique gprimes:36
Target sum:(38,9) number of unique gprimes:36
Target sum:(38,10) number of unique gprimes:41
Target sum:(38,11) number of unique gprimes:42
Target sum:(38,12) number of unique gprimes:46
Target sum:(38,13) number of unique gprimes:46
Target sum:(38,14) number of unique gprimes:48
Target sum:(38,15) number of unique gprimes:51
